applicant_id,jurisdiction,region,age_group,employment_status,annual_income,debt_to_income,credit_history_years,missed_payments_12m,credit_utilization,existing_customer,customer_tenure_years,spending_volatility,requested_credit_limit,synthetic_group_proxy,prob_good_repayment,good_repayment_12m,policy_score,approval_decision
APP-00044,EU,EU_South,35-44,Full-time,110265,0.196,15,2,0.475,1,10.8,0.223,22500,Group_A,0.983,1,0.5981,Approved
APP-00045,US,US_West,25-34,Self-employed,76469,0.169,5.1,0,0.286,0,0,0.239,20100,Group_C,0.9329,1,0.5379,Manual Review
APP-00046,EU,EU_West,25-34,Part-time,25614,0.435,0.4,2,0.53,0,0,0.654,5000,Group_B,0.2704,0,0.0635,Declined
APP-00047,US,US_South,25-34,Full-time,123480,0.536,1.3,1,0.464,1,2.4,0.375,25600,Group_A,0.8016,0,0.4527,Declined
APP-00048,US,US_East,35-44,Full-time,108699,0.104,7.4,0,0.472,1,8.3,0.117,21600,Group_B,0.9895,1,0.5741,Manual Review
APP-00049,US,US_South,45-54,Part-time,93004,0.318,15.6,2,0.611,1,6.6,0.285,18600,Group_A,0.936,1,0.5332,Manual Review
APP-00050,US,US_East,25-34,Student,32548,0.259,9.4,0,0.508,1,7,0.4,5600,Group_A,0.7085,0,0.3792,Declined
APP-00051,EU,EU_West,55+,Full-time,43586,0.419,22.9,2,0.55,1,7.9,0.364,9300,Group_A,0.8429,1,0.3527,Declined
APP-00052,EU,EU_West,35-44,Unemployed,54843,0.203,11.5,1,0.319,1,4.1,0.245,5000,Group_A,0.9141,0,0.5472,Manual Review
APP-00053,EU,EU_Central,45-54,Full-time,84785,0.164,14,0,0.272,1,7,0.387,18700,Group_A,0.9689,1,0.6286,Approved
APP-00054,EU,EU_South,35-44,Full-time,45074,0.463,7.9,1,0.577,1,7.9,0.256,2800,Group_C,0.9394,1,0.4897,Manual Review
APP-00055,EU,EU_Central,45-54,Part-time,92325,0.323,14.4,0,0.258,1,10.6,0.194,9900,Group_B,0.986,1,0.6145,Approved
APP-00056,EU,EU_North,18-24,Full-time,109976,0.326,1.8,1,0.412,1,0.6,0.207,22500,Group_B,0.9284,1,0.5803,Approved
APP-00057,US,US_West,45-54,Full-time,93994,0.036,16.9,0,0.527,0,0,0.11,10200,Group_A,0.9872,1,0.6151,Approved
APP-00058,US,US_East,18-24,Full-time,134796,0.206,0.2,0,0.807,0,0,0.213,10800,Group_A,0.9751,1,0.5414,Manual Review
APP-00059,US,US_West,45-54,Part-time,52352,0.435,15.2,0,0.711,0,0,0.352,9600,Group_B,0.7717,0,0.3829,Declined
APP-00060,US,US_Midwest,55+,Part-time,43478,0.441,21.9,1,0.71,0,0,0.372,8700,Group_A,0.7587,1,0.3341,Declined
APP-00061,US,US_Midwest,25-34,Full-time,56145,0.072,4.1,0,0.099,0,0,0.455,3600,Group_A,0.971,1,0.5868,Approved
APP-00062,US,US_West,25-34,Full-time,155763,0.229,4.8,1,0.513,1,5.6,0.493,19300,Group_A,0.9778,1,0.5655,Manual Review
APP-00063,EU,EU_Central,45-54,Full-time,56492,0.364,15.3,0,0.574,0,0,0.348,8900,Group_B,0.9165,1,0.4329,Declined
APP-00064,US,US_East,25-34,Full-time,103805,0.221,6,1,0.3,0,0,0.465,10800,Group_A,0.9118,1,0.5339,Manual Review
APP-00065,US,US_South,45-54,Full-time,74453,0.153,19.5,0,0.372,0,0,0.367,13100,Group_A,0.9837,1,0.6069,Approved
APP-00066,US,US_East,18-24,Part-time,21761,0.24,1.4,1,0.5,0,0,0.426,700,Group_B,0.5324,1,0.2286,Declined
APP-00067,US,US_West,25-34,Full-time,118541,0.26,5.4,1,0.288,1,7.4,0.368,13600,Group_A,0.99,1,0.5906,Approved
APP-00068,EU,EU_West,55+,Full-time,69457,0.296,21,1,0.691,0,0,0.278,11000,Group_A,0.8985,1,0.456,Declined
APP-00069,US,US_West,35-44,Full-time,75229,0.382,11.1,1,0.616,0,0,0.541,15600,Group_A,0.6818,1,0.4064,Declined
APP-00070,EU,EU_South,45-54,Full-time,159422,0.105,14.4,0,0.351,1,5,0.181,23300,Group_A,0.99,1,0.6796,Approved
APP-00071,EU,EU_North,25-34,Unemployed,50178,0.607,2.3,4,0.784,0,0,0.529,2800,Group_B,0.049,0,0,Declined
APP-00072,US,US_West,35-44,Full-time,120640,0.037,12.5,1,0.11,0,0,0.498,20900,Group_A,0.9893,1,0.6249,Approved
APP-00073,US,US_South,35-44,Full-time,67226,0.077,12.9,1,0.235,1,9.8,0.239,13800,Group_A,0.9821,1,0.6107,Approved
APP-00074,EU,EU_South,35-44,Full-time,66949,0.41,11.3,1,0.559,1,5.9,0.227,12300,Group_C,0.9732,1,0.449,Declined
APP-00075,EU,EU_Central,35-44,Full-time,87328,0.222,13.3,1,0.654,0,0,0.475,14500,Group_C,0.9126,1,0.4892,Manual Review
APP-00076,EU,EU_West,35-44,Full-time,97332,0.364,8.8,1,0.543,0,0,0.392,23500,Group_C,0.7027,1,0.3384,Declined
APP-00077,EU,EU_South,25-34,Full-time,47804,0.518,10.2,2,0.635,1,6.9,0.351,9700,Group_A,0.6205,1,0.2987,Declined
APP-00078,US,US_Midwest,25-34,Full-time,103236,0.389,4.5,1,0.249,0,0,0.483,20500,Group_A,0.9243,1,0.4814,Manual Review
APP-00079,US,US_West,45-54,Full-time,92877,0.133,12.8,0,0.498,1,7.9,0.537,17800,Group_C,0.9668,1,0.5659,Manual Review
APP-00080,US,US_West,25-34,Full-time,28874,0.303,0.4,1,0.711,1,0,0.408,3100,Group_B,0.5331,1,0.2163,Declined
APP-00081,EU,EU_West,35-44,Full-time,59423,0.678,10,2,0.891,1,9.8,0.554,10000,Group_A,0.5507,1,0.2045,Declined
APP-00082,EU,EU_West,25-34,Unemployed,23255,0.254,5.4,2,0.288,1,2.4,0.71,3400,Group_A,0.4488,0,0.162,Declined
APP-00083,US,US_East,35-44,Full-time,87349,0.435,12.2,0,0.4,0,0,0.675,10400,Group_A,0.9563,1,0.6152,Approved
APP-00084,US,US_East,45-54,Full-time,209134,0.251,15.5,1,0.405,0,0,0.234,23700,Group_C,0.99,1,0.6786,Approved
APP-00085,US,US_Midwest,25-34,Full-time,82999,0.638,3.9,0,0.856,1,2.2,0.238,3600,Group_A,0.8277,1,0.4566,Declined
APP-00086,US,US_Midwest,18-24,Full-time,34946,0.23,1.6,0,0.126,1,3.3,0.31,5600,Group_A,0.644,1,0.3061,Declined
APP-00087,EU,EU_Central,25-34,Part-time,51556,0.297,5.7,1,0.209,1,5.8,0.36,11700,Group_A,0.7063,1,0.3714,Declined
APP-00088,EU,EU_South,35-44,Full-time,64563,0.369,4.9,0,0.314,1,2.6,0.355,10600,Group_B,0.8723,1,0.4793,Declined
APP-00089,EU,EU_West,45-54,Self-employed,84803,0.582,11.6,5,0.543,1,9.2,0.602,15400,Group_B,0.3345,0,0.2012,Declined
APP-00090,US,US_South,18-24,Full-time,66248,0.22,0.8,0,0.374,0,0,0.465,4200,Group_A,0.857,1,0.5306,Manual Review
APP-00091,US,US_South,45-54,Full-time,138286,0.246,17,0,0.312,0,0,0.173,19100,Group_B,0.99,1,0.6282,Approved
APP-00092,EU,EU_North,25-34,Part-time,43097,0.585,5.9,2,0.339,0,0,0.696,7600,Group_C,0.2698,0,0.0653,Declined
APP-00093,EU,EU_South,35-44,Full-time,188714,0.195,12.5,0,0.496,0,0,0.426,30000,Group_A,0.99,1,0.6552,Approved
APP-00094,EU,EU_Central,55+,Full-time,124007,0.335,17.7,1,0.428,1,8.8,0.368,15900,Group_A,0.9892,1,0.66,Approved
APP-00095,EU,EU_North,25-34,Full-time,54233,0.094,9.1,0,0.345,1,6.1,0.133,6000,Group_A,0.9266,1,0.5434,Manual Review
APP-00096,US,US_South,35-44,Part-time,128028,0.292,11.7,0,0.716,1,7.9,0.381,13200,Group_B,0.9697,1,0.5849,Approved
APP-00097,US,US_East,18-24,Full-time,49535,0.416,0,2,0.454,0,0,0.421,2800,Group_B,0.573,1,0.3008,Declined
APP-00098,US,US_East,18-24,Student,12766,0.291,0,0,0.437,0,0,0.215,3500,Group_B,0.5069,0,0.2614,Declined
APP-00099,US,US_West,25-34,Full-time,131477,0.134,5.4,0,0.437,1,2.4,0.436,8600,Group_B,0.99,1,0.645,Approved
APP-00100,US,US_Midwest,18-24,Student,56500,0.391,3.9,0,0.535,0,0,0.656,6100,Group_A,0.7639,1,0.4156,Declined
APP-00101,US,US_South,35-44,Full-time,83001,0.684,8.5,0,0.452,1,7.9,0.503,11700,Group_C,0.8465,0,0.5017,Manual Review
APP-00102,EU,EU_Central,25-34,Part-time,37216,0.229,5.8,0,0.8,0,0,0.381,5600,Group_A,0.835,1,0.3694,Declined
APP-00103,US,US_West,35-44,Full-time,83524,0.314,9.7,0,0.237,1,10.3,0.441,11200,Group_A,0.9884,1,0.6743,Approved
APP-00104,US,US_East,25-34,Student,37478,0.538,4.5,1,0.704,0,0,0.601,8600,Group_B,0.1227,0,0.0337,Declined
APP-00105,EU,EU_Central,25-34,Full-time,111059,0.207,6.9,1,0.561,1,7.3,0.727,10300,Group_B,0.9552,1,0.5464,Manual Review
APP-00106,US,US_Midwest,35-44,Full-time,116678,0.087,9.3,0,0.324,0,0,0.261,9400,Group_A,0.9825,1,0.6628,Approved
APP-00107,US,US_East,55+,Full-time,80521,0.145,22.2,1,0.375,0,0,0.243,5200,Group_C,0.9785,1,0.6041,Approved
APP-00108,EU,EU_North,18-24,Full-time,93435,0.198,0,0,0.166,0,0,0.304,13600,Group_C,0.9083,1,0.5502,Manual Review
APP-00109,US,US_South,55+,Full-time,71590,0.365,19.1,0,0.678,1,6.4,0.347,15100,Group_A,0.9358,1,0.5627,Manual Review
APP-00110,US,US_South,35-44,Unemployed,52423,0.262,11.8,2,0.448,1,8.7,0.303,7000,Group_C,0.8578,1,0.506,Manual Review
APP-00111,US,US_West,35-44,Unemployed,31025,0.669,13,3,0.662,1,9.6,0.535,5800,Group_A,0.127,0,0,Declined
APP-00112,US,US_West,35-44,Full-time,109581,0.211,12.9,1,0.706,1,5.6,0.307,23200,Group_A,0.9754,1,0.6068,Approved
APP-00113,EU,EU_Central,18-24,Student,21076,0.324,0,1,0.248,0,0,0.576,3500,Group_A,0.2051,0,0.05,Declined
APP-00114,EU,EU_South,18-24,Full-time,46434,0.252,0.5,1,0.355,1,3.2,0.151,11400,Group_C,0.8916,1,0.4924,Manual Review
APP-00115,EU,EU_North,35-44,Full-time,63832,0.307,10.6,1,0.584,0,0,0.475,9000,Group_B,0.8434,1,0.4588,Declined
APP-00116,EU,EU_West,25-34,Self-employed,124693,0.395,6.6,2,0.388,0,0,0.821,23000,Group_A,0.9167,1,0.4546,Declined
APP-00117,EU,EU_South,55+,Self-employed,54106,0.287,18.6,1,0.419,1,10.3,0.443,7900,Group_A,0.9454,1,0.522,Manual Review
APP-00118,US,US_East,25-34,Unemployed,17525,0.678,5.3,4,0.688,0,0,0.462,3000,Group_B,0.0355,0,0,Declined
APP-00119,EU,EU_West,25-34,Full-time,193658,0.299,4.9,1,0.304,0,0,0.566,20200,Group_A,0.99,1,0.6215,Approved
APP-00120,US,US_Midwest,45-54,Self-employed,126704,0.051,18.9,1,0.547,1,9.8,0.401,21200,Group_C,0.99,1,0.6892,Approved
APP-00121,EU,EU_West,25-34,Full-time,21364,0.252,7.7,1,0.523,1,8.9,0.5,3400,Group_B,0.6053,0,0.251,Declined
APP-00122,EU,EU_South,35-44,Full-time,69989,0.371,12.3,1,0.625,1,8.2,0.319,8000,Group_A,0.6581,1,0.3858,Declined
APP-00123,US,US_East,35-44,Full-time,37275,0.292,13,0,0.417,0,0,0.57,9300,Group_C,0.7899,1,0.4404,Declined
APP-00124,US,US_Midwest,55+,Unemployed,21024,0.552,21.1,1,0.46,1,10.4,0.597,7700,Group_A,0.4901,0,0.2471,Declined
APP-00125,US,US_West,45-54,Part-time,13629,0.439,16.7,2,0.715,1,7.8,0.606,2800,Group_C,0.6477,1,0.2597,Declined
APP-00126,US,US_East,35-44,Part-time,44530,0.457,12.1,2,0.224,1,11.9,0.479,6700,Group_B,0.7277,1,0.4023,Declined
APP-00127,EU,EU_West,35-44,Full-time,45250,0.192,9.3,0,0.315,1,11.2,0.426,4500,Group_B,0.9636,1,0.5084,Manual Review
APP-00128,EU,EU_Central,55+,Full-time,84664,0.386,20.4,3,0.292,1,4,0.123,10200,Group_A,0.9483,1,0.5402,Manual Review
APP-00129,US,US_South,25-34,Full-time,33493,0.231,1.7,0,0.44,0,0,0.183,8800,Group_C,0.7608,1,0.3835,Declined
APP-00130,US,US_East,18-24,Full-time,52956,0.114,2.3,0,0.279,0,0,0.459,11600,Group_A,0.891,1,0.4862,Manual Review
APP-00131,US,US_South,25-34,Full-time,61864,0.02,8.3,0,0.431,1,7.4,0.493,10900,Group_A,0.985,1,0.6177,Approved
APP-00132,US,US_Midwest,25-34,Part-time,91768,0.395,8.6,0,0.373,0,0,0.349,8100,Group_A,0.9251,1,0.4289,Declined
APP-00133,US,US_South,35-44,Full-time,142763,0.364,9.9,3,0.487,1,6.4,0.341,27500,Group_B,0.9792,1,0.5663,Manual Review
APP-00134,US,US_West,35-44,Full-time,128523,0.204,9.8,0,0.244,1,10.2,0.379,26500,Group_A,0.99,1,0.6126,Approved
APP-00135,EU,EU_South,35-44,Full-time,65307,0.504,4.5,5,0.525,1,1,0.306,16400,Group_B,0.2976,1,0.0941,Declined
APP-00136,US,US_East,18-24,Full-time,116348,0.232,0.4,0,0.155,0,0,0.448,17900,Group_C,0.9608,1,0.553,Manual Review
APP-00137,US,US_West,45-54,Full-time,47604,0.02,15.3,0,0.54,0,0,0.393,7500,Group_A,0.9413,1,0.5989,Approved
APP-00138,EU,EU_Central,25-34,Student,14447,0.707,3.6,2,0.669,0,0,0.815,3400,Group_B,0.1606,0,0,Declined
APP-00139,US,US_Midwest,35-44,Self-employed,79363,0.561,12.4,0,0.809,1,8.3,0.525,6900,Group_A,0.7872,1,0.4149,Declined
APP-00140,EU,EU_West,35-44,Part-time,145439,0.389,14.4,1,0.443,0,0,0.632,23000,Group_C,0.955,1,0.6292,Approved
APP-00141,EU,EU_West,25-34,Full-time,57052,0.053,4.6,0,0.659,0,0,0.271,11100,Group_B,0.878,1,0.4822,Manual Review
APP-00142,US,US_South,25-34,Full-time,68661,0.308,6,1,0.674,1,9.1,0.379,12100,Group_A,0.7424,0,0.3334,Declined
APP-00143,US,US_Midwest,18-24,Full-time,22347,0.287,0,1,0.556,0,0,0.305,4400,Group_B,0.3784,0,0.1258,Declined
APP-00144,US,US_West,45-54,Student,63723,0.255,16.3,5,0.557,1,11.3,0.46,12400,Group_A,0.8078,1,0.4318,Declined
APP-00145,US,US_South,55+,Part-time,79233,0.535,19.2,1,0.263,1,5.2,0.563,11600,Group_A,0.9505,1,0.4956,Manual Review
APP-00146,US,US_East,35-44,Full-time,107895,0.107,9.1,0,0.36,1,4.9,0.159,10400,Group_B,0.9852,0,0.5798,Manual Review
APP-00147,EU,EU_West,18-24,Full-time,38436,0.246,3.5,1,0.485,1,1.6,0.228,9400,Group_A,0.836,1,0.4248,Declined
APP-00148,US,US_South,25-34,Full-time,54251,0.225,7,0,0.166,1,9.3,0.097,8200,Group_A,0.9877,1,0.6495,Approved
APP-00149,US,US_West,45-54,Self-employed,48858,0.072,17,0,0.346,1,6.9,0.393,9000,Group_A,0.9761,1,0.6089,Approved
APP-00150,US,US_West,45-54,Unemployed,32611,0.535,14.8,0,0.574,1,8.7,0.691,6800,Group_B,0.8362,1,0.4401,Declined
APP-00151,EU,EU_North,18-24,Full-time,31374,0.209,0,1,0.244,0,0,0.126,8100,Group_A,0.8,1,0.4814,Manual Review
APP-00152,US,US_South,18-24,Full-time,30034,0.353,3.9,1,0.535,0,0,0.341,3600,Group_A,0.5149,1,0.2553,Declined
APP-00153,US,US_East,45-54,Full-time,66321,0.102,12.3,1,0.336,1,10.5,0.51,10800,Group_B,0.966,1,0.604,Approved
APP-00154,US,US_South,25-34,Full-time,50144,0.365,1.9,0,0.549,1,3.4,0.32,12600,Group_B,0.8368,0,0.4048,Declined
APP-00155,EU,EU_South,25-34,Full-time,58531,0.38,4.1,1,0.493,1,1.8,0.153,14200,Group_A,0.7047,0,0.3066,Declined
APP-00156,US,US_East,18-24,Full-time,62932,0.403,3.5,0,0.356,0,0,0.373,11600,Group_A,0.4619,0,0.2513,Declined
APP-00157,EU,EU_South,35-44,Part-time,58557,0.108,10.5,0,0.328,0,0,0.295,5100,Group_A,0.887,1,0.6002,Approved
APP-00158,EU,EU_North,45-54,Part-time,52660,0.202,12.3,2,0.492,0,0,0.256,13400,Group_A,0.4733,0,0.3249,Declined
APP-00159,US,US_West,55+,Full-time,89486,0.16,22.1,1,0.241,0,0,0.371,20000,Group_A,0.9768,1,0.6585,Approved
APP-00160,EU,EU_South,35-44,Part-time,30314,0.535,5.6,0,0.634,1,2.7,0.374,1800,Group_B,0.2783,0,0.0616,Declined
APP-00161,US,US_South,35-44,Full-time,79317,0.338,9.1,0,0.317,0,0,0.562,13400,Group_B,0.9573,1,0.4914,Manual Review
APP-00162,EU,EU_West,18-24,Full-time,45755,0.243,0.8,1,0.529,0,0,0.317,8300,Group_B,0.4796,1,0.1912,Declined
APP-00163,EU,EU_North,35-44,Full-time,45894,0.552,12.9,1,0.7,1,6.2,0.526,2800,Group_A,0.7897,1,0.4003,Declined
APP-00164,US,US_West,25-34,Full-time,97816,0.126,8.2,2,0.195,0,0,0.357,9200,Group_B,0.9674,1,0.5659,Manual Review
APP-00165,US,US_West,35-44,Full-time,60707,0.168,8,1,0.399,1,11.2,0.099,9600,Group_A,0.9617,1,0.5823,Approved
APP-00166,EU,EU_North,25-34,Full-time,72479,0.348,5.4,0,0.551,0,0,0.24,16000,Group_C,0.6798,1,0.3041,Declined
APP-00167,US,US_East,25-34,Full-time,105531,0.38,3.7,0,0.577,1,6.9,0.307,7100,Group_B,0.9736,1,0.5319,Manual Review
APP-00168,US,US_Midwest,18-24,Unemployed,30279,0.496,3.5,2,0.505,0,0,0.421,5800,Group_A,0.2562,0,0.0382,Declined
APP-00169,US,US_West,25-34,Full-time,63464,0.281,4.8,1,0.188,0,0,0.364,15200,Group_B,0.9075,1,0.5485,Manual Review
APP-00170,EU,EU_West,18-24,Full-time,43338,0.28,1.7,0,0.576,0,0,0.298,9500,Group_A,0.9007,1,0.4788,Declined
APP-00171,EU,EU_Central,25-34,Full-time,95718,0.092,3.3,1,0.425,1,3.3,0.183,9500,Group_B,0.9737,1,0.5292,Manual Review
APP-00172,US,US_South,55+,Self-employed,101939,0.175,18.5,0,0.469,0,0,0.462,14300,Group_A,0.9649,1,0.6438,Approved
APP-00173,US,US_West,35-44,Full-time,68336,0.144,13.2,1,0.436,1,7.3,0.197,8200,Group_A,0.9754,1,0.5073,Manual Review
APP-00174,US,US_West,35-44,Part-time,36883,0.401,11,0,0.707,1,10.6,0.608,4300,Group_C,0.5413,0,0.1928,Declined
APP-00175,EU,EU_South,45-54,Full-time,37684,0.088,18,0,0.383,0,0,0.492,6000,Group_A,0.9481,1,0.5344,Manual Review
APP-00176,US,US_West,55+,Full-time,74026,0.416,18.1,1,0.524,1,4.9,0.33,7300,Group_B,0.9241,1,0.4512,Declined
APP-00177,EU,EU_West,35-44,Full-time,86963,0.183,9.6,0,0.267,0,0,0.347,9200,Group_A,0.9683,1,0.5815,Approved
APP-00178,US,US_South,45-54,Full-time,133814,0.377,11.4,0,0.581,0,0,0.419,19300,Group_B,0.9433,1,0.5631,Manual Review
APP-00179,EU,EU_West,25-34,Full-time,73449,0.2,5.1,0,0.183,0,0,0.319,16600,Group_B,0.863,0,0.4921,Manual Review
APP-00180,US,US_East,25-34,Full-time,135918,0.212,4.2,1,0.51,0,0,0.333,20300,Group_A,0.9548,1,0.5857,Approved
APP-00181,US,US_East,25-34,Self-employed,49743,0.257,10.6,1,0.328,0,0,0.284,8300,Group_A,0.8253,1,0.4363,Declined
APP-00182,US,US_East,35-44,Full-time,150636,0.188,8.1,0,0.505,0,0,0.123,8900,Group_A,0.9886,1,0.5647,Manual Review
APP-00183,EU,EU_West,35-44,Full-time,71143,0.519,11.6,0,0.287,0,0,0.935,16600,Group_A,0.9409,1,0.4998,Manual Review
APP-00184,EU,EU_Central,25-34,Unemployed,41401,0.496,9.9,0,0.199,1,5.3,0.52,8000,Group_A,0.7929,1,0.3844,Declined
APP-00185,US,US_West,25-34,Full-time,32414,0.308,5.6,0,0.579,1,5.6,0.307,7300,Group_B,0.8366,1,0.4002,Declined
APP-00186,EU,EU_West,35-44,Part-time,58630,0.355,10.4,2,0.378,1,7.6,0.415,5300,Group_C,0.7423,1,0.4276,Declined
APP-00187,EU,EU_West,25-34,Part-time,17837,0.292,3.4,2,0.62,0,0,0.432,4700,Group_C,0.1407,1,0,Declined
APP-00188,EU,EU_Central,35-44,Full-time,67079,0.425,5.8,1,0.572,1,2.3,0.219,8400,Group_B,0.8126,0,0.4039,Declined
APP-00189,US,US_Midwest,35-44,Full-time,92226,0.145,10.5,0,0.537,0,0,0.275,8100,Group_B,0.99,1,0.6252,Approved
APP-00190,US,US_West,35-44,Full-time,59838,0.559,12.1,2,0.715,0,0,0.308,4400,Group_B,0.6643,1,0.363,Declined
